mean,cc_or,cc_ci_l,cc_ci_r,n
15.6185987,0.437309987,0.417432137,0.458134407,17184
22.41845459,0.545706758,0.52370425,0.568633663,24796
31.76064388,0.981189588,0.941331764,1.02273507,19072
42.32890542,1.378232744,1.315965802,1.443445942,11292
53.53244166,1.675591229,1.588003517,1.768009918,7028
63.72921862,2.12005204,1.99376421,2.25433912,4812
74.71661672,2.561113088,2.376466087,2.760106818,3003
85.32791328,2.770877927,2.52316155,3.04291435,1845
96.36098853,2.803973388,2.491178225,3.156043467,1133
106.5560054,2.886260153,2.495514994,3.338187786,741
116.5952381,3.152068277,2.599669472,3.82184525,420
128.4885845,3.389569482,2.595581497,4.42643827,219
139.0833333,4.022101813,2.883653159,5.610003041,144
