mean,cc_or,cc_ci_l,cc_ci_r,n
74.65714286,4.14634901,2.107842317,8.156307505,35
77.08333333,3.091773089,1.945689022,4.91294381,72
80.27142857,2.933986268,2.104997572,4.089446723,140
84.2320442,2.175967376,1.834455745,2.581056552,543
87.08711567,1.911046482,1.711990999,2.133246413,1366
90.21769418,1.604682414,1.482802024,1.736580883,2871
93.14442351,1.413510233,1.33286129,1.499039092,5837
96.60696709,1.131154146,1.081515766,1.183070781,13004
99.40003205,0.917024801,0.879715227,0.95591671,18721
102.5206825,0.80581406,0.772964778,0.840059365,19340
105.176191,0.755830326,0.723669284,0.789420658,16624
108.1303096,0.825584428,0.785944696,0.867223421,11112
110.9042074,1.062078466,0.996498261,1.131974548,5324
114.6550162,1.486754232,1.336227144,1.654238319,1545
117.4384749,2.013329121,1.704374873,2.378287906,577
120.6123596,2.901126004,2.160884321,3.894948012,178
