mean,cc_or,cc_ci_l,cc_ci_r,n
0.194390244,1.969562346,1.057764772,3.66733317,41
0.359872702,1.530487068,1.310039157,1.788031032,707
0.477987972,0.962370068,0.86487077,1.070860734,1829
0.62645768,0.789401717,0.739382257,0.842805011,5742
0.727009031,0.721234369,0.681416785,0.763378635,8305
0.89716616,0.663379497,0.629972279,0.698558289,10851
1.002097395,0.706159788,0.671052385,0.743103902,10904
1.18228527,0.797006433,0.756301151,0.839902536,9640
1.290268625,0.79245983,0.749629476,0.837737313,8376
1.443875405,0.874989747,0.817071622,0.937013399,4944
1.588615105,1.074331687,1.008862372,1.144049581,5495
1.695395976,1.14185865,1.068079195,1.22073455,4672
1.885656852,1.29768548,1.204965984,1.397539537,3532
1.99126506,1.49270831,1.38017049,1.614422359,2988
2.184851835,1.611311207,1.47513251,1.760061411,2261
2.291329975,1.547100172,1.40779814,1.70018618,1985
2.442258621,1.736077793,1.539351676,1.95794512,1160
2.593531627,1.798062539,1.607142293,2.01166313,1328
2.699452401,1.879974988,1.670784923,2.115356624,1187
2.88827381,2.221109643,1.958031427,2.519534659,1008
