mean,cc_or,cc_ci_l,cc_ci_r,n
0.204259259,2.398200335,1.404135089,4.096019599,54
0.968320303,0.581650192,0.558293397,0.605984144,29547
1.301913841,0.746691826,0.716724701,0.777911913,29109
1.883782552,1.399992977,1.339304198,1.463431787,12941
2.554017812,1.92349984,1.817576503,2.035596097,5951
3.181436121,2.055581992,1.910204247,2.212023837,3217
3.888859898,1.973102296,1.790328642,2.174535211,1763
4.52236251,1.716075511,1.530619037,1.9240027,1291
5.117273756,1.23340171,1.067527347,1.425049936,884
5.809755245,1.217793232,1.017908234,1.456929324,572
6.420618102,1.169017619,0.954441708,1.43183411,453
7.016049383,0.941177046,0.732061221,1.210027531,324
7.686214953,0.914383451,0.669944874,1.248008796,214
8.2816,0.58178611,0.381018474,0.888342955,150
8.986607143,0.531437443,0.320828606,0.880301041,112
