mean,cc_or,cc_ci_l,cc_ci_r,n
2.385106383,1.232029055,0.798175776,1.901705911,94
2.674595843,1.325947106,1.085078584,1.620284239,433
2.880193237,1.257571238,1.102396707,1.4345883,1035
3.172790633,1.125900614,1.045443096,1.212550159,3587
3.359803503,0.99417134,0.939891815,1.051585552,7023
3.63661496,0.812836365,0.778169861,0.849047219,14505
3.816525941,0.747901354,0.718193247,0.778838337,18831
4.087927742,0.791764556,0.760718335,0.824077827,19375
4.276289548,0.88174822,0.845811031,0.919212324,16246
4.564216061,1.052774034,1.004038613,1.103875042,10460
4.792176441,1.28020148,1.215903898,1.34789915,7912
5.058629707,1.553518703,1.450292447,1.664092208,3824
5.361470153,2.092322839,1.912432436,2.289134393,2027
5.566088214,2.545280094,2.286575917,2.833254172,1383
5.849733333,2.698263699,2.335463428,3.117422821,750
6.057749469,2.781663593,2.319577943,3.335801829,471
