mean,cc_or,cc_ci_l,cc_ci_r,n
12.7399592,0.454436357,0.432041017,0.477992585,14217
18.39572405,0.484009248,0.465411715,0.503349925,25164
24.53721631,0.648209911,0.624221786,0.673119873,24895
32.2515889,0.938443182,0.902608045,0.975701037,19353
39.21966628,1.147908084,1.100968177,1.196849279,14563
47.21035849,1.391265132,1.328423244,1.457079794,10349
54.18118237,1.679334864,1.595567313,1.767500226,7578
62.29000934,2.010179284,1.896533763,2.130634757,5355
69.29790346,2.247118481,2.10591792,2.397786456,4102
77.11006077,2.333644759,2.164659115,2.515822387,2962
84.46409336,2.435630556,2.235564831,2.653600614,2228
92.28265238,2.796780005,2.522569048,3.100798531,1493
100.3363554,3.306832075,2.934799171,3.726026122,1103
106.9912827,3.922446038,3.409287338,4.512844298,803
114.876,3.489373536,2.925057648,4.162559902,500
122.2971429,2.823254038,2.287273714,3.484831446,350
129.8938776,3.653109984,2.839940017,4.699117753,245
136.7888199,4.163292767,3.045556225,5.691245009,161
145.3831776,3.553517773,2.429701048,5.19713673,107
