mean,cc_or,cc_ci_l,cc_ci_r,n
75.04651163,2.944228166,1.928378369,4.495217137,86
78.14414414,2.397516103,1.837976859,3.12739708,222
81.21822034,1.890537981,1.568511918,2.278678165,472
84.3299725,1.626438075,1.433700221,1.845086423,1091
87.29742209,1.421618112,1.306090621,1.547364343,2599
90.89412559,1.194715961,1.131761955,1.26117177,7405
93.72705046,1.080099289,1.034532543,1.127673055,13497
96.8795387,0.947863421,0.912175341,0.984947767,19857
99.68488624,0.852045598,0.822008956,0.883179795,26327
102.3966515,0.826557233,0.797541518,0.856628582,27117
105.3727614,0.893561585,0.860962716,0.927394754,22615
108.057238,1.04426786,0.999257234,1.091305948,12911
111.6549362,1.366006135,1.276316059,1.461998967,4234
114.6263473,1.762343546,1.592402637,1.950420517,1670
117.5282714,2.145467199,1.826094168,2.520696678,619
120.6232558,3.007026009,2.300281091,3.930913249,215
124.3292683,5.350851356,3.412895914,8.389242143,82
