mean,cc_or,cc_ci_l,cc_ci_r,n
0.194722222,1.9766475,1.011153068,3.864039446,36
0.288168498,1.687891317,1.315794892,2.165213679,273
0.383904179,1.151517606,0.999078222,1.327216195,981
0.474191392,0.924133125,0.838838386,1.0181008,2393
0.569032116,0.776783719,0.72103013,0.836848449,4546
0.663557207,0.731684621,0.688197715,0.777919445,7132
0.758547294,0.705857474,0.668211668,0.745624175,9293
0.85607366,0.680951996,0.646309256,0.717451617,10562
0.954014599,0.664863646,0.631209452,0.700312181,10823
1.054245319,0.707239963,0.671429885,0.744959938,10468
1.152188175,0.774402802,0.734740083,0.816206593,9725
1.251806713,0.824617591,0.780787862,0.870907712,8640
1.350925433,0.923643819,0.872733248,0.977524239,7510
1.45281382,0.99850241,0.941325294,1.059152526,6628
1.550392089,1.03400954,0.971513834,1.10052548,5764
1.651951623,1.070863399,1.001412674,1.145130723,4837
1.752183742,1.144328753,1.065968429,1.228449417,4158
1.851851748,1.245690463,1.155860502,1.342501735,3575
1.95304005,1.303090148,1.204702157,1.409513483,3171
