mean,cc_or,cc_ci_l,cc_ci_r,n
2.685391304,1.296873541,1.08592702,1.548797432,575
2.879733728,1.311799724,1.167854721,1.473486799,1352
3.100268727,1.176254976,1.084778334,1.275445614,2977
3.291254571,1.051297939,0.99172345,1.114451167,6289
3.547503847,0.929457311,0.893119498,0.967273578,16245
3.725590241,0.857073929,0.826967446,0.888276465,22872
3.954927039,0.802697606,0.774223312,0.832219124,22752
4.185706882,0.819015753,0.791480498,0.847508948,27013
4.374299002,0.917493133,0.885197606,0.950966929,22147
4.627786551,1.082997445,1.036576851,1.131496873,12031
4.8596162,1.211588508,1.155260949,1.270662455,9432
5.060256,1.338450373,1.265462811,1.415647607,6250
5.321653407,1.596296884,1.476434098,1.725890607,2891
5.526967471,1.919156718,1.748285908,2.10672779,1906
5.75436696,2.171316864,1.956033858,2.410294129,1477
5.955579171,2.185753723,1.919072221,2.489494291,941
6.22791762,2.360751915,1.953811899,2.852449412,437
6.461861862,2.376255975,1.913738732,2.950555562,333
6.669047619,2.437660035,1.857191435,3.199555165,210
