mean,cc_or,cc_ci_l,cc_ci_r,n
4.272727273,0.279624893,0.157989841,0.494905751,143
18.79500624,0.447465744,0.421035108,0.475555573,12015
26.94047336,0.659483321,0.621196699,0.700129688,12633
38.64688143,1.161739516,1.091006758,1.237058058,7295
51.59284359,1.685831214,1.563539745,1.817687649,3689
64.80666667,2.606546936,2.378172852,2.856851606,2100
76.99151889,3.113906065,2.780478484,3.487317395,1297
89.58532934,3.393384759,2.905857861,3.962705911,668
102.0520231,5.12710624,4.108741538,6.397875883,346
114.328125,5.727304348,4.236274324,7.743128179,192
128.8363636,6.091061274,4.073423818,9.10806955,110
