mean,cc_or,cc_ci_l,cc_ci_r,n
79.54929577,0.304298572,0.13937639,0.664370921,71
83.99447514,0.596954027,0.407000403,0.875562056,181
87.81870229,0.70213909,0.566179004,0.870748118,524
90.90634146,0.846729649,0.730479939,0.981479517,1025
94.98803589,0.951445082,0.871458279,1.038773473,3009
98.35016403,0.892359488,0.836544888,0.951898061,7011
101.3751187,0.801583024,0.754508624,0.851594433,9477
104.7709405,0.794529767,0.748454629,0.843441308,10303
107.5773094,0.985052153,0.926084826,1.047774153,8065
111.0955731,1.419697773,1.312297315,1.535888051,3411
115.112316,2.300639332,2.052420901,2.578877136,1291
118.2424723,3.015225935,2.572030743,3.534789568,631
122.1034483,4.947909369,3.712104707,6.595128386,203
126.2435897,8.159090143,4.903865672,13.57515813,78
