mean,cc_or,cc_ci_l,cc_ci_r,n
0.245405405,0.774584388,0.353905787,1.695312697,37
1.047764527,0.515157609,0.483268062,0.549151461,16435
1.407817922,0.889984902,0.838014242,0.945178597,13313
2.123205443,1.650484702,1.538303066,1.770847247,4483
2.856769912,2.108516193,1.910145966,2.327487331,1808
3.607429219,2.023818463,1.763848857,2.322104389,883
4.313235294,2.082084807,1.760269303,2.462735184,578
4.924453125,2.012265924,1.638835032,2.470788133,384
5.704957983,2.126184732,1.641912808,2.753289634,238
6.350517241,2.142523,1.584801468,2.896517261,174
7.03426087,1.682552883,1.151872273,2.457724065,115
