mean,cc_or,cc_ci_l,cc_ci_r,n
66.94170404,1.694338567,1.286628203,2.231245337,223
75.28351955,1.091507527,0.921735176,1.29254987,716
83.48876662,0.762629019,0.683467849,0.850958859,2181
90.1982264,0.640041991,0.585219861,0.699999741,3834
97.63273849,0.606038441,0.556825772,0.659600562,4539
105.1129522,0.700474722,0.643735561,0.762214899,4285
113.0030701,0.885311155,0.811575781,0.965745725,3583
120.8093426,1.107846288,1.011302562,1.213606536,2890
128.7957904,1.389347339,1.259965593,1.532014874,2233
136.662299,1.526717829,1.369618491,1.701836931,1679
144.8237129,1.503181055,1.330138508,1.698735335,1282
152.4765306,1.501977942,1.308319981,1.724301219,980
160.953186,1.717152729,1.475546134,1.998320098,769
168.4519393,1.918707228,1.620078686,2.272381866,593
177.0024155,1.699746376,1.386561702,2.083670519,414
184.2166667,1.554379168,1.221457909,1.978041632,300
193.5324675,1.730452207,1.321236007,2.266411771,231
201.295,1.632521966,1.219300666,2.185784068,200
209.9565217,1.331116492,0.951489968,1.862206828,161
217.5572519,1.345567729,0.928474036,1.950030312,131
226.2407407,1.604933708,1.079534492,2.386039748,108
