mean,cc_or,cc_ci_l,cc_ci_r,n
2.297058824,2.370151508,1.207961409,4.650494733,34
2.514102564,1.4113469,0.884461561,2.252104738,78
2.710731707,1.384672237,1.036059384,1.850586207,205
2.9002079,1.072805593,0.878707481,1.309778129,481
3.172803115,0.955652768,0.857223487,1.06538403,1798
3.359758495,0.941387588,0.868613313,1.020259046,3561
3.576448457,0.845163024,0.7882677,0.90616492,5316
3.761112684,0.77114576,0.723535989,0.821888327,7064
3.948272224,0.789134979,0.741621838,0.839692123,7582
4.13769242,0.875960816,0.822099509,0.933350942,6821
4.330646374,0.969047232,0.905060794,1.037557415,5322
4.52745098,1.095283174,1.014417853,1.182594755,3774
4.722235529,1.272175114,1.1636525,1.390818583,2505
4.926885645,1.40527652,1.263820215,1.562565683,1644
5.126919682,1.549055112,1.367765821,1.75437323,1133
5.329389313,1.798909337,1.555121555,2.080914377,786
5.523827392,2.122636438,1.784713686,2.524542442,533
5.726836158,2.277220482,1.844052149,2.812140169,354
5.951672862,2.481738281,1.950535371,3.157607387,269
6.148780488,2.818437547,2.072402936,3.833033656,164
