mean,cc_or,cc_ci_l,cc_ci_r,n
1.826086957,4.73732248,2.090076794,10.73751182,23
17.56416089,0.42103412,0.407213685,0.435323608,45721
24.4778131,0.512982031,0.498271239,0.52812714,62920
35.62085818,0.989679732,0.961355745,1.018838217,48288
46.68440248,1.404820383,1.362584627,1.448365312,33999
58.62337541,1.687704927,1.630556559,1.746856252,21390
70.19924522,1.964635194,1.886266354,2.04626003,12984
82.22050509,2.2795589,2.170511039,2.394085395,7959
93.38479857,2.579093043,2.43062492,2.736629938,5039
105.199861,2.722447569,2.521446657,2.93947157,2877
116.5266836,2.807898866,2.534757345,3.110473695,1574
129,3.049370364,2.660603856,3.494943299,863
139.9176245,3.207565294,2.694770542,3.817941065,522
150.8024194,2.990898397,2.320692513,3.854656818,248
