mean,cc_or,cc_ci_l,cc_ci_r,n
72.84848485,5.092541833,2.566177198,10.1060762,33
78.71548117,2.567500239,1.975672242,3.336614917,239
84.73009599,1.749667898,1.577553793,1.940559977,1771
89.56826305,1.520931569,1.445388496,1.600422891,8394
94.96527484,1.167714426,1.132781662,1.203724448,35421
99.60117233,0.820797484,0.798183797,0.844051849,81035
103.6072977,0.716943094,0.697099775,0.737351263,84629
108.0273316,0.989349851,0.960144043,1.019444047,39844
113.4660072,1.555283361,1.482411686,1.631737226,9502
118.1741438,2.575728454,2.353842892,2.818530112,2073
124.2777778,5.169802451,4.066412212,6.572589299,270
