mean,cc_or,cc_ci_l,cc_ci_r,n
0.351979287,1.184082907,1.006270653,1.393315334,869
0.74640995,0.686037971,0.659825583,0.713291679,24242
0.947127465,0.545569863,0.52862562,0.563057227,46499
1.220603461,0.624966135,0.605863992,0.644670544,45703
1.509878995,0.89817402,0.86988367,0.927384429,35040
1.805824706,1.173247566,1.132995164,1.214930032,24051
2.115344869,1.469424403,1.413537635,1.527520755,16470
2.421378107,1.703382465,1.631768049,1.778139868,12031
2.722115231,1.738722397,1.655494365,1.826134621,8765
3.029989213,1.700039672,1.606816607,1.798671281,6489
3.341315639,1.703739462,1.600926647,1.813154999,5237
3.672490582,1.74501662,1.635748951,1.861583345,4778
3.978901266,1.722163922,1.604253293,1.848740836,3950
4.323021633,1.785451489,1.64475045,1.938188872,2866
4.629670103,1.788885488,1.636645516,1.955286749,2425
