mean,cc_or,cc_ci_l,cc_ci_r,n
2.183544304,1.915431692,1.197795363,3.06302619,79
2.495041322,1.812865248,1.452711041,2.262308412,363
2.691869919,1.412434818,1.225348565,1.628085407,984
2.979679573,1.24919908,1.157882329,1.347717555,3745
3.176865327,1.107644682,1.051040595,1.167297199,8658
3.456121197,0.969484586,0.93645725,1.003676742,23631
3.638047211,0.891735069,0.865704547,0.918548293,36983
3.910501755,0.816541632,0.794861533,0.838813063,51858
4.13557771,0.822714434,0.80174376,0.844233624,61086
4.375156992,0.917936455,0.892317708,0.944290725,41722
4.666380173,1.07426468,1.040198777,1.109446221,26993
4.863400682,1.183939229,1.141643829,1.227801581,19055
5.161282837,1.350412711,1.290508745,1.413097352,10773
5.35979815,1.472823001,1.395633264,1.554281951,7134
5.665708419,1.690969523,1.577035239,1.813135088,3896
5.857521105,1.741798651,1.601058426,1.894910574,2606
6.162811791,1.878604903,1.673067477,2.109392736,1323
6.399,2.0769196,1.822095036,2.367382019,1000
6.6592,1.998207231,1.659513046,2.406026363,500
6.961132075,2.184707828,1.699105425,2.809094848,265
7.165803109,2.325511356,1.736628588,3.114081563,193
