mean,cc_or,cc_ci_l,cc_ci_r,n
3.609756098,1.071030573,0.536629008,2.137615509,41
22.5638727,0.505004793,0.485943885,0.524813356,24541
31.66057164,0.578995201,0.559546745,0.599119637,38556
43.90423996,0.981355261,0.948329352,1.015531308,30472
58.12925058,1.417020446,1.364942168,1.471085729,18174
72.01607093,1.801041533,1.724193101,1.88131515,10827
85.86759582,2.068776398,1.960858241,2.182633959,6314
99.65630348,2.432846079,2.270754392,2.606508246,3506
113.4143266,2.697288227,2.451475401,2.967749045,1745
128.6957576,2.747983883,2.394624433,3.153486332,825
141.3643032,3.046313141,2.507597783,3.700762464,409
154,3.226623845,2.328154685,4.471825478,145
