mean,cc_or,cc_ci_l,cc_ci_r,n
77.22077922,1.850045995,1.169847827,2.92573966,77
81.23728814,1.676681155,1.322248729,2.126120172,295
84.96641075,1.454657242,1.277395998,1.656516613,1042
88.93376734,1.455770314,1.354318927,1.564821375,3533
92.69068471,1.462234502,1.39692379,1.530598702,10048
96.30025215,1.204179243,1.161293333,1.248648906,21019
99.34960388,0.959947471,0.92725968,0.993787574,27391
102.9326588,0.797881494,0.771020377,0.825678408,31036
105.8357846,0.774583738,0.747832282,0.802292147,27537
109.2939066,0.876571882,0.839447751,0.915337808,13933
112.9891031,1.102068708,1.031742255,1.17718881,4772
116.8529874,1.745475338,1.556046462,1.95796477,1272
120.7836066,3.301428825,2.63485381,4.136636439,305
124.7926829,7.921500531,4.85873309,12.91492443,82
