mean,cc_or,cc_ci_l,cc_ci_r,n
0.547807377,1.275330699,1.050686136,1.548005952,488
0.713983003,1.308868371,1.181318542,1.450190065,1765
0.836233156,1.033013561,0.952730082,1.120062269,3191
1.013621262,0.7710808,0.726008578,0.818951206,6923
1.121976951,0.713868443,0.676998868,0.752745946,9545
1.298988509,0.676989659,0.645771121,0.709717397,12793
1.408743947,0.720427809,0.688055868,0.754322797,13216
1.59177262,0.815902148,0.778532145,0.855065932,11892
1.738931955,0.902712672,0.863240317,0.943989932,12771
1.89474263,1.065035706,1.011780392,1.121094128,8548
2.086802453,1.228129717,1.162289456,1.297699634,6849
2.20068193,1.311600113,1.238548465,1.38896047,6115
2.388315983,1.392537627,1.307904219,1.482647593,4899
2.540900697,1.387137015,1.305682127,1.47367346,5307
2.693860465,1.444816919,1.345355738,1.551631192,3655
2.885920162,1.441119502,1.331902931,1.559291875,2956
2.997742544,1.441700048,1.326863613,1.566475265,2649
3.189707228,1.508319768,1.378036047,1.650920908,2186
3.342795354,1.520334953,1.396895214,1.654682718,2497
3.494376059,1.563447651,1.415469384,1.726896098,1771
3.690892169,1.577544444,1.419372507,1.753342733,1558
3.800006757,1.616178707,1.450799331,1.800409993,1480
3.99491268,1.794507882,1.603202049,2.008641732,1317
