mean,cc_or,cc_ci_l,cc_ci_r,n
1.713469812,0.874558172,0.838432452,0.912240449,57225
2.525622433,1.59162269,1.538298687,1.646795131,33843
4.222830991,1.480958716,1.414889252,1.55011335,10106
5.69771773,0.956105785,0.893407396,1.023204281,4811
7.196423597,0.594904383,0.534701249,0.661885915,2441
8.644075444,0.321981251,0.269471031,0.384723827,1352
10.09127072,0.191808936,0.141785821,0.259480585,724
11.53376344,0.088559794,0.048595984,0.161388582,372
12.9357672,0.047012738,0.015023224,0.147118726,189
14.31494253,0.178102638,0.072192387,0.439389126,87
