mean,cc_or,cc_ci_l,cc_ci_r,n
40.5982906,1.556623267,1.06420024,2.276898562,117
48.12612613,1.759141189,1.340288863,2.308888634,222
56.01558442,1.828825971,1.488334576,2.247212748,385
64.52505967,1.377591568,1.190207077,1.594477604,838
73.73061551,0.919699385,0.837558728,1.009895701,2502
81.43493878,0.727175477,0.681325426,0.776111023,6125
88.69788437,0.636687651,0.604448691,0.670646113,10966
95.7049907,0.652349721,0.622444546,0.683691681,13986
103.1733753,0.767827686,0.733228584,0.804059428,13664
110.8902334,0.930624494,0.887361575,0.975996678,11570
118.8960423,1.094144316,1.040217049,1.150867297,9273
126.9002286,1.251288839,1.185388642,1.320852675,7437
134.822018,1.342929587,1.265924189,1.424619177,5877
142.848804,1.412715176,1.323225144,1.508257441,4557
151.3879287,1.474778303,1.373899679,1.583063942,3761
159.2841365,1.385119624,1.279342647,1.499642318,2988
167.7348378,1.32392683,1.205326971,1.454196491,2127
176.0503256,1.334703904,1.202125429,1.481904024,1689
183.6731634,1.378201522,1.226549429,1.548604067,1334
191.7482234,1.436273782,1.255941919,1.642498228,985
200.1600481,1.434363597,1.239734896,1.659547485,831
207.852573,1.442916449,1.234003587,1.687197592,719
216.0793103,1.398774337,1.174514865,1.665853454,580
224.1120332,1.357325917,1.119696977,1.645385924,482
232.7465753,1.357790355,1.109692291,1.661356632,438
240.4112903,1.275898988,1.022611772,1.59192205,372
248.8069498,1.460867868,1.127986807,1.891985717,259
257.5023041,1.556704194,1.177008535,2.058887319,217
264.9800995,1.542969386,1.153583054,2.063791174,201
273.0555556,1.698568316,1.234051404,2.337936908,162
281.4964029,1.248793619,0.869025323,1.794522511,139
289.6503497,1.412570663,0.995944674,2.003480646,143
296.4166667,2.134668621,1.485641593,3.067233807,120
