mean,cc_or,cc_ci_l,cc_ci_r,n
2.6,1.433237353,1.120694413,1.832943295,283
2.788961892,1.267290706,1.086703453,1.477887762,761
3.004043905,1.130435189,1.017831788,1.255495978,1731
3.19933162,1.118817887,1.041877341,1.201440337,3890
3.389422579,1.071413146,1.016680501,1.129092303,7724
3.639313233,0.905771967,0.871828476,0.941037002,17910
3.821918152,0.829000463,0.800450046,0.858569215,23898
4.049703359,0.824647747,0.795444096,0.854923571,21912
4.241039921,0.857315745,0.826323273,0.889470636,20290
4.433811266,0.951539914,0.915196595,0.98932646,16669
4.668328767,1.052067218,1.010452943,1.095395327,14600
4.865033024,1.108081014,1.058486021,1.159999763,10447
5.126694753,1.298084577,1.221799501,1.379132638,5222
5.324193088,1.498847815,1.395579136,1.609758067,3501
5.530130088,1.630463903,1.497951197,1.774699032,2383
5.758144439,1.774882251,1.61613645,1.949220936,1897
5.960835303,1.821921632,1.626247465,2.041139804,1269
6.224276527,1.842094113,1.567869395,2.164281496,622
6.427830189,1.880416746,1.54803925,2.284158582,424
6.625,1.698414175,1.342671616,2.14841118,296
6.865983607,1.723084859,1.330817848,2.230975063,244
