mean,cc_or,cc_ci_l,cc_ci_r,n
47.168,2.017921786,1.415378179,2.876975491,125
58.99115044,1.675395541,1.344712517,2.087397999,339
71.67105263,1.055840889,0.933527917,1.194179588,1292
83.31554067,0.71358026,0.664732458,0.766017638,5077
92.19224676,0.642377783,0.608971751,0.677616351,10731
101.7042338,0.718305857,0.683809677,0.754542266,13416
112.308001,0.918482704,0.87378517,0.965466692,11711
123.6298417,1.149489729,1.088624929,1.213757468,8210
135.5392959,1.271488075,1.195329025,1.352499514,5624
147.1083313,1.334086721,1.244256801,1.43040197,4117
158.6700849,1.384411389,1.275822337,1.502242779,2828
170.9281823,1.411960466,1.284032442,1.552633945,2019
181.6989761,1.490793718,1.336097686,1.663400763,1465
193.5854922,1.56010697,1.365870884,1.781964742,965
205.6877524,1.785759494,1.539054185,2.072010849,743
217.0053004,1.597445961,1.345247319,1.896925244,566
229.5625,1.507072647,1.241122164,1.830011604,448
239.5894428,1.518462062,1.216303158,1.895684491,341
252.0247525,1.66963671,1.256578695,2.218473665,202
265.3050847,1.539093757,1.132794126,2.091121007,177
275.154321,1.324694024,0.954739155,1.838003867,162
287.1621622,1.551998474,1.054831979,2.283490937,111
