mean,cc_or,cc_ci_l,cc_ci_r,n
28.43243243,3.215271677,1.686984592,6.128077284,37
39.54918033,2.34268034,1.636862126,3.352848777,122
50.40893471,2.207587251,1.747598379,2.788650714,291
61.96437995,1.768042502,1.523115584,2.052355266,758
73.63783347,1.105413919,1.008864462,1.211203267,2474
84.1794969,0.750561266,0.7079425,0.79574572,7911
92.97938689,0.638050444,0.609238759,0.668224671,15136
102.1996249,0.701618503,0.671967415,0.732577968,17593
112.6359018,0.915455006,0.876252951,0.956410894,15158
123.6147834,1.100069356,1.050380895,1.152108339,12027
134.4972742,1.177897994,1.120191946,1.238576737,9355
145.4761167,1.213474381,1.147554571,1.28318087,7097
156.4785675,1.243903443,1.168484313,1.324190455,5389
167.313523,1.267676278,1.180296916,1.361524481,3971
178.5587225,1.287067202,1.185560557,1.397264757,2912
189.3202765,1.368443971,1.246532789,1.502278092,2170
200.5670886,1.394402164,1.251373012,1.55377923,1580
211.740228,1.390239357,1.230186929,1.571115269,1228
222.728866,1.425416552,1.243430466,1.63403777,970
233.6163849,1.439277348,1.23536129,1.676853,769
244.1293375,1.450435863,1.226424916,1.71536322,634
254.6898608,1.505120577,1.248580127,1.814371303,503
265.5442359,1.733384065,1.402147558,2.142870271,373
277.3312303,1.532906666,1.212907783,1.937330175,317
287.4688645,1.576202218,1.226261483,2.026006253,273
298.754717,1.739877033,1.31421514,2.303406801,212
