mean,cc_or,cc_ci_l,cc_ci_r,n
33.18055556,1.358155868,1.086230984,1.698153882,432
44.77843955,1.160964441,1.030410853,1.308059235,1679
58.99375145,1.09285389,1.011983514,1.180186839,4321
73.94417578,0.98432409,0.93170406,1.039915951,9512
88.18394014,0.842488138,0.806597262,0.879976037,17908
101.7936206,0.828489365,0.797529286,0.860651313,25739
115.4607888,0.895877552,0.86307902,0.929922487,26370
130.4145951,0.988462309,0.950535984,1.027901891,21843
145.3454204,1.066677367,1.023020897,1.112196836,17567
160.6806121,1.064081343,1.016857277,1.113498552,14246
175.4928461,1.07100869,1.018207203,1.126548321,10973
191.1751187,1.095310606,1.033835858,1.160440813,8006
206.2202073,1.11320827,1.043426647,1.187656703,6176
221.6261797,1.210693009,1.128044492,1.299396941,4874
236.7640715,1.23909234,1.144971446,1.34095032,3802
251.902474,1.143772415,1.041570022,1.256003254,2789
267.9366165,1.105465779,0.994100976,1.229306295,2193
283.1981441,1.111881131,0.990372102,1.248298136,1832
298.4338028,1.282392623,1.130572418,1.454600176,1420
